temp[0], 0x08B7,
temp[1], 0x0B7B,
temp[2], 0x0BFF,
temp[3], 0x0A05,
temp[4], 0x066D,
temp[5], 0x02A9,
temp[6], 0x0045,
temp[7], 0x0043,
temp[8], 0x02A1,
temp[9], 0x0666,
temp[10], 0x0A03,
temp[11], 0x0BF7,
temp[12], 0x0B82,
temp[13], 0x08C2,
temp[14], 0x04E1,
temp[15], 0x017C,
temp[16], 0x0000,
temp[17], 0x00EF,
temp[18], 0x0402,
temp[19], 0x07E8,
temp[20], 0x0B0C,
temp[21], 0x0C18,
temp[22], 0x0AA2,
temp[23], 0x074C,
temp[24], 0x0369,
temp[25], 0x009C,
temp[26], 0x0009,
temp[27], 0x01F1,
temp[28], 0x0588,
temp[29], 0x0951,
temp[30], 0x0BBB,
temp[31], 0x0BD4,
temp[32], 0x097D,
temp[33], 0x05C1,
temp[34], 0x021B,
temp[35], 0x0016,
temp[36], 0x0081,
temp[37], 0x0338,
temp[38], 0x0711,
temp[39], 0x0A7F,
temp[40], 0x0C19,
temp[41], 0x0B2A,
temp[42], 0x0823,
temp[43], 0x0437,
temp[44], 0x0111,
temp[45], 0x0000,
temp[46], 0x0157,
temp[47], 0x04AD,
temp[48], 0x0890,
temp[49], 0x0B62,
temp[50], 0x0C09,
temp[51], 0x0A29,
temp[52], 0x069E,
temp[53], 0x02D2,
temp[54], 0x0054,
temp[55], 0x0035,
temp[56], 0x0278,
temp[57], 0x0635,
temp[58], 0x09DF,
temp[59], 0x0BED,
temp[60], 0x0B92,
temp[61], 0x08EF,
temp[62], 0x050F,
temp[63], 0x01A0,
temp[64], 0x0000,
temp[65], 0x00D6,
temp[66], 0x03D5,
temp[67], 0x07B6,
temp[68], 0x0AF0,
temp[69], 0x0C1F,
temp[70], 0x0AC3,
temp[71], 0x077B,
temp[72], 0x0395,
temp[73], 0x00B4,
temp[74], 0x0002,
temp[75], 0x01CC,
temp[76], 0x0558,
temp[77], 0x0928,
temp[78], 0x0BAC,
temp[79], 0x0BE1,
temp[80], 0x09AB,
temp[81], 0x05F1,
temp[82], 0x0241,
temp[83], 0x0023,
temp[84], 0x006F,
temp[85], 0x030B,
temp[86], 0x06DF,
temp[87], 0x0A5E,
temp[88], 0x0C10,
temp[89], 0x0B43,
temp[90], 0x0850,
temp[91], 0x0466,
temp[92], 0x012E,
temp[93], 0x0000,
temp[94], 0x0137,
temp[95], 0x0477,
temp[96], 0x085B,
temp[97], 0x0B4A,
temp[98], 0x0C0F,
temp[99], 0x0A4A,
temp[100], 0x06D1,
temp[101], 0x02FE,
temp[102], 0x0067,
temp[103], 0x0024,
temp[104], 0x0251,
temp[105], 0x0602,
temp[106], 0x09B3,
temp[107], 0x0BE9,
temp[108], 0x0BA7,
temp[109], 0x091A,
temp[110], 0x0545,
temp[111], 0x01C1,
temp[112], 0x0001,
temp[113], 0x00BC,
temp[114], 0x03A4,
temp[115], 0x078C,
temp[116], 0x0ACF,
temp[117], 0x0C1B,
temp[118], 0x0ADC,
temp[119], 0x07AB,
temp[120], 0x03C7,
temp[121], 0x00CB,
temp[122], 0x0000,
temp[123], 0x01AB,
temp[124], 0x0525,
temp[125], 0x08FB,
temp[126], 0x0BA1,
temp[127], 0x0BEC,
