squaredMagnitude[200], 0x0000,
squaredMagnitude[201], 0x0000,
squaredMagnitude[202], 0x0000,
squaredMagnitude[203], 0x0000,
squaredMagnitude[204], 0x0000,
squaredMagnitude[205], 0x0000,
squaredMagnitude[206], 0x0000,
squaredMagnitude[207], 0x0000,
squaredMagnitude[208], 0x0000,
squaredMagnitude[209], 0x0000,
squaredMagnitude[210], 0x0000,
squaredMagnitude[211], 0x0000,
squaredMagnitude[212], 0x0000,
squaredMagnitude[213], 0x0000,
squaredMagnitude[214], 0x0000,
squaredMagnitude[215], 0x0000,
squaredMagnitude[216], 0x0000,
squaredMagnitude[217], 0x0000,
squaredMagnitude[218], 0x0000,
squaredMagnitude[219], 0x0000,
squaredMagnitude[220], 0x0000,
squaredMagnitude[221], 0x0000,
squaredMagnitude[222], 0x0000,
squaredMagnitude[223], 0x0000,
squaredMagnitude[224], 0x0000,
squaredMagnitude[225], 0x0000,
squaredMagnitude[226], 0x0000,
squaredMagnitude[227], 0x0000,
squaredMagnitude[228], 0x0000,
squaredMagnitude[229], 0x0000,
squaredMagnitude[230], 0x0000,
squaredMagnitude[231], 0x0000,
squaredMagnitude[232], 0x0000,
squaredMagnitude[233], 0x0000,
squaredMagnitude[234], 0x0000,
squaredMagnitude[235], 0x0000,
squaredMagnitude[236], 0x0000,
squaredMagnitude[237], 0x0000,
squaredMagnitude[238], 0x0000,
squaredMagnitude[239], 0x0000,
squaredMagnitude[240], 0x0000,
squaredMagnitude[241], 0x0000,
squaredMagnitude[242], 0x0000,
squaredMagnitude[243], 0x0000,
squaredMagnitude[244], 0x0000,
squaredMagnitude[245], 0x0000,
squaredMagnitude[246], 0x0000,
squaredMagnitude[247], 0x0000,
squaredMagnitude[248], 0x0000,
squaredMagnitude[249], 0x0000,
squaredMagnitude[250], 0x0000,
squaredMagnitude[251], 0x0000,
squaredMagnitude[252], 0x0000,
squaredMagnitude[253], 0x0000,
squaredMagnitude[254], 0x0000,
squaredMagnitude[255], 0x0000,
squaredMagnitude[256], 0x0000,
squaredMagnitude[257], 0x0000,
squaredMagnitude[258], 0x0000,
squaredMagnitude[259], 0x0000,
squaredMagnitude[260], 0x0000,
squaredMagnitude[261], 0x0000,
squaredMagnitude[262], 0x0000,
squaredMagnitude[263], 0x0000,
squaredMagnitude[264], 0x0000,
squaredMagnitude[265], 0x0000,
squaredMagnitude[266], 0x0000,
squaredMagnitude[267], 0x0000,
squaredMagnitude[268], 0x0000,
squaredMagnitude[269], 0x0000,
squaredMagnitude[270], 0x0000,
squaredMagnitude[271], 0x0000,
squaredMagnitude[272], 0x0000,
squaredMagnitude[273], 0x0000,
