squaredMagnitude[133], 0x0000, ,0000,0
squaredMagnitude[134], 0x0000, ,0000,0
squaredMagnitude[135], 0x0000, ,0000,0
squaredMagnitude[136], 0x0000, ,0000,0
squaredMagnitude[137], 0x0000, ,0000,0
squaredMagnitude[138], 0x0000, ,0000,0
squaredMagnitude[139], 0x0000, ,0000,0
squaredMagnitude[140], 0x0000, ,0000,0
squaredMagnitude[141], 0x0000, ,0000,0
squaredMagnitude[142], 0x0000, ,0000,0
squaredMagnitude[143], 0x0000, ,0000,0
squaredMagnitude[144], 0x0000, ,0000,0
squaredMagnitude[145], 0x0000, ,0000,0
squaredMagnitude[146], 0x0000, ,0000,0
squaredMagnitude[147], 0x0000, ,0000,0
squaredMagnitude[148], 0x0000, ,0000,0
squaredMagnitude[149], 0x0000, ,0000,0
squaredMagnitude[150], 0x0000, ,0000,0
squaredMagnitude[151], 0x0000, ,0000,0
squaredMagnitude[152], 0x0000, ,0000,0
squaredMagnitude[153], 0x0000, ,0000,0
squaredMagnitude[154], 0x0000, ,0000,0
squaredMagnitude[155], 0x0000, ,0000,0
squaredMagnitude[156], 0x0000, ,0000,0
squaredMagnitude[157], 0x0000, ,0000,0
squaredMagnitude[158], 0x0000, ,0000,0
squaredMagnitude[159], 0x0000, ,0000,0
squaredMagnitude[160], 0x0000, ,0000,0
squaredMagnitude[161], 0x0000, ,0000,0
squaredMagnitude[162], 0x0000, ,0000,0
squaredMagnitude[163], 0x0000, ,0000,0
squaredMagnitude[164], 0x0000, ,0000,0
squaredMagnitude[165], 0x0000, ,0000,0
squaredMagnitude[166], 0x0000, ,0000,0
squaredMagnitude[167], 0x0000, ,0000,0
squaredMagnitude[168], 0x0000, ,0000,0
squaredMagnitude[169], 0x0000, ,0000,0
squaredMagnitude[170], 0x0000, ,0000,0
squaredMagnitude[171], 0x0001, ,0001,1
squaredMagnitude[172], 0x0000, ,0000,0
squaredMagnitude[173], 0x0001, ,0001,1
squaredMagnitude[174], 0x0000, ,0000,0
squaredMagnitude[175], 0x0000, ,0000,0
squaredMagnitude[176], 0x0000, ,0000,0
squaredMagnitude[177], 0x0000, ,0000,0
squaredMagnitude[178], 0x0000, ,0000,0
squaredMagnitude[179], 0x0000, ,0000,0
squaredMagnitude[180], 0x0000, ,0000,0
squaredMagnitude[181], 0x0001, ,0001,1
squaredMagnitude[182], 0x0000, ,0000,0
squaredMagnitude[183], 0x0000, ,0000,0
squaredMagnitude[184], 0x0000, ,0000,0
squaredMagnitude[185], 0x0000, ,0000,0
squaredMagnitude[186], 0x0000, ,0000,0
squaredMagnitude[187], 0x0000, ,0000,0
