 0x1F60
 0x20B8
 0x2108
 0x2060
 0x1ED8
 0x1C78
 0x1938
 0x1508
 0x1030
 0x0A58
 0x04B0
 0xFE60
 0xF808
 0xF140
 0xEA90
 0xE438
 0xDDC0
 0xD7A8
 0xD218
 0xCD50
 0xC8D8
 0xC550
 0xC288
 0xC0C0
 0xC000
 0xC000
 0xC0B0
 0xC280
 0xC540
 0xC8B8
 0xCCD8
 0xD1E0
 0xD778
 0xDD28
 0xE390
 0xEA48
 0xF0F8
 0xF790
 0xFE20
 0x0498
 0x0A48
 0x0FC0
 0x14C0
 0x18F8
 0x1BE8
 0x1E78
 0x2040
 0x20E0
 0x20D8
 0x1FA8
 0x1DB0
 0x1AF8
 0x1748
 0x12D0
 0x0DB0
 0x07E8
 0x01D0
 0xFB80
 0xF500
 0xEE48
 0xE798
 0xE108
 0xDB00
 0xD508
 0xCFC8
 0xCB48
 0xC760
 0xC3F8
 0xC1A0
 0xC048
 0xC000
 0xC018
 0xC148
 0xC3A0
 0xC6B0
 0xCA88
 0xCF08
 0xD448
 0xDA20
 0xE030
 0xE680
 0xED50
 0xF418
 0xFA80
 0x0110
 0x0750
 0x0D08
 0x1220
 0x16A0
 0x1A98
 0x1D18
 0x1F60
 0x20A0
 0x2100
 0x2080
 0x1EE8
 0x1C88
 0x1940
 0x1560
 0x1098
 0x0B48
 0x0590
 0xFEF8
 0xF880
 0xF1C0
 0xEB48
 0xE490
 0xDE30
 0xD820
 0xD2A8
 0xCD98
 0xC928
 0xC5A8
 0xC2C8
 0xC0E8
 0xC000
 0xC000
 0xC098
 0xC250
 0xC4E0
 0xC850
 0xCC88
 0xD190
 0xD718
 0xDCF8
 0xE368
 0xEA18
 0xF098
 0xF758
 0xFDF8
 0x0430
 0x0A30
 0x0FB0
 0x14A0
 0x18A8
 0x1BE0
 0x1E70
 0x2028
 0x20F8
 0x20D8
 0x1FC0
 0x1DD0
 0x1AE8
 0x1738
 0x12C8
 0x0DD0
 0x0820
 0x01C0
 0xFBA0
 0xF508
 0xEE38
 0xE7C0
 0xE128
 0xDAE0
 0xD538
 0xCFE8
 0xCB28
 0xC730
 0xC3F8
 0xC1B0
 0xC048
 0xC000
 0xC018
 0xC168
 0xC390
 0xC698
 0xCA80
 0xCEE8
 0xD428
 0xD9E8
 0xE018
 0xE668
 0xED20
 0xF3E8
