adc_data[0], 0x0586, ,0586,1414
adc_data[1], 0x0545, ,0545,1349
adc_data[2], 0x04F9, ,04F9,1273
adc_data[3], 0x04B2, ,04B2,1202
adc_data[4], 0x0477, ,0477,1143
adc_data[5], 0x0436, ,0436,1078
adc_data[6], 0x03F7, ,03F7,1015
adc_data[7], 0x03C4, ,03C4,964
adc_data[8], 0x038B, ,038B,907
adc_data[9], 0x035B, ,035B,859
adc_data[10], 0x032C, ,032C,812
adc_data[11], 0x0303, ,0303,771
adc_data[12], 0x02D8, ,02D8,728
adc_data[13], 0x02B0, ,02B0,688
adc_data[14], 0x028D, ,028D,653
adc_data[15], 0x0267, ,0267,615
adc_data[16], 0x024A, ,024A,586
adc_data[17], 0x0227, ,0227,551
adc_data[18], 0x0208, ,0208,520
adc_data[19], 0x01F0, ,01F0,496
adc_data[20], 0x01D8, ,01D8,472
adc_data[21], 0x01CC, ,01CC,460
adc_data[22], 0x01B7, ,01B7,439
adc_data[23], 0x01AA, ,01AA,426
adc_data[24], 0x01A0, ,01A0,416
adc_data[25], 0x019B, ,019B,411
adc_data[26], 0x0197, ,0197,407
adc_data[27], 0x018C, ,018C,396
adc_data[28], 0x0183, ,0183,387
adc_data[29], 0x017E, ,017E,382
adc_data[30], 0x0170, ,0170,368
adc_data[31], 0x0167, ,0167,359
adc_data[32], 0x0159, ,0159,345
adc_data[33], 0x014E, ,014E,334
adc_data[34], 0x0145, ,0145,325
adc_data[35], 0x013A, ,013A,314
adc_data[36], 0x0131, ,0131,305
adc_data[37], 0x012C, ,012C,300
adc_data[38], 0x0120, ,0120,288
adc_data[39], 0x0115, ,0115,277
adc_data[40], 0x010C, ,010C,268
adc_data[41], 0x00FD, ,00FD,253
adc_data[42], 0x00F6, ,00F6,246
adc_data[43], 0x00E1, ,00E1,225
adc_data[44], 0x00CC, ,00CC,204
adc_data[45], 0x00BA, ,00BA,186
adc_data[46], 0x00A6, ,00A6,166
adc_data[47], 0x0092, ,0092,146
adc_data[48], 0x0082, ,0082,130
adc_data[49], 0x0074, ,0074,116
adc_data[50], 0x0066, ,0066,102
adc_data[51], 0x005D, ,005D,93
adc_data[52], 0x0054, ,0054,84
adc_data[53], 0x004B, ,004B,75
adc_data[54], 0x0045, ,0045,69
adc_data[55], 0x003E, ,003E,62
adc_data[56], 0x0036, ,0036,54
adc_data[57], 0x002F, ,002F,47
adc_data[58], 0x0029, ,0029,41
adc_data[59], 0x0026, ,0026,38
adc_data[60], 0x0028, ,0028,40
adc_data[61], 0x0026, ,0026,38
adc_data[62], 0x002C, ,002C,44
adc_data[63], 0x0034, ,0034,52
adc_data[64], 0x003A, ,003A,58
adc_data[65], 0x0048, ,0048,72
adc_data[66], 0x004D, ,004D,77
adc_data[67], 0x0058, ,0058,88
adc_data[68], 0x0063, ,0063,99
adc_data[69], 0x0062, ,0062,98
adc_data[70], 0x0067, ,0067,103
adc_data[71], 0x0067, ,0067,103
adc_data[72], 0x0069, ,0069,105
adc_data[73], 0x006F, ,006F,111
adc_data[74], 0x006A, ,006A,106
adc_data[75], 0x006D, ,006D,109
adc_data[76], 0x0072, ,0072,114
adc_data[77], 0x006E, ,006E,110
adc_data[78], 0x0073, ,0073,115
adc_data[79], 0x006D, ,006D,109
adc_data[80], 0x0076, ,0076,118
adc_data[81], 0x006A, ,006A,106
adc_data[82], 0x005F, ,005F,95
adc_data[83], 0x0057, ,0057,87
adc_data[84], 0x004C, ,004C,76
adc_data[85], 0x0040, ,0040,64
adc_data[86], 0x003A, ,003A,58
adc_data[87], 0x0024, ,0024,36
adc_data[88], 0x0019, ,0019,25
adc_data[89], 0x0015, ,0015,21
adc_data[90], 0x0006, ,0006,6
adc_data[91], 0x0001, ,0001,1
adc_data[92], 0x0000, ,0000,0
adc_data[93], 0x0000, ,0000,0
adc_data[94], 0x0000, ,0000,0
adc_data[95], 0x0000, ,0000,0
adc_data[96], 0x0000, ,0000,0
adc_data[97], 0x0000, ,0000,0
adc_data[98], 0x0000, ,0000,0
adc_data[99], 0x0000, ,0000,0
adc_data[100], 0x0000, ,0000,0
adc_data[101], 0x0000, ,0000,0
adc_data[102], 0x0000, ,0000,0
adc_data[103], 0x0000, ,0000,0
adc_data[104], 0x0007, ,0007,7
adc_data[105], 0x0017, ,0017,23
adc_data[106], 0x001F, ,001F,31
adc_data[107], 0x0030, ,0030,48
adc_data[108], 0x0032, ,0032,50
adc_data[109], 0x003A, ,003A,58
adc_data[110], 0x0047, ,0047,71
adc_data[111], 0x0042, ,0042,66
adc_data[112], 0x0047, ,0047,71
adc_data[113], 0x0049, ,0049,73
adc_data[114], 0x004C, ,004C,76
adc_data[115], 0x0050, ,0050,80
adc_data[116], 0x0050, ,0050,80
adc_data[117], 0x0052, ,0052,82
adc_data[118], 0x005D, ,005D,93
adc_data[119], 0x0055, ,0055,85
adc_data[120], 0x0054, ,0054,84
adc_data[121], 0x0052, ,0052,82
adc_data[122], 0x004A, ,004A,74
adc_data[123], 0x004A, ,004A,74
adc_data[124], 0x003A, ,003A,58
adc_data[125], 0x002F, ,002F,47
adc_data[126], 0x0027, ,0027,39
adc_data[127], 0x0016, ,0016,22
adc_data[128], 0x000B, ,000B,11
adc_data[129], 0x0001, ,0001,1
adc_data[130], 0x0000, ,0000,0
adc_data[131], 0x0000, ,0000,0
